title,speaker,description,CE_Credits,urllink,Category,format,Cost,educationalObjectives,Source,releaseDate
Techniques for Delivering Successful Complete Dentures,"Leif Stromberg, DDS, MAGD","This is the fifth and last course of a 5-course series on ""Keys to Complete Denture Success"" and presents important keys to tissue-supported complete denture success regarding techniques and steps for delivering dentures, including:
• laboratory steps for processing and finishing dentures including the importance of controlling the polymerization shrinkage of the acrylic resin during processing of dentures.
• details regarding how to adjust lingualized denture occlusion after denture processing.
• discussing in detail techniques for delivering successful complete dentures including effective use of white silicone paste to adjust the denture bases to adapt well to the supporting tissues.
• that it is recommended to not adjust occlusion on tissue-supported complete dentures intraorally using articulating paper and the steps to accurately adjust denture occlusion intraorally.
• Post denture delivery appointment adjustments and problem-solving patient concerns.
• Important considerations if a denture reline is necessary on the new dentures.",2,https://www.dentaltown.com/onlinece/details/1134/techniques-for-delivering-successful-complete-dentures,Prosthodontics,Video, $36,"Explain the importance of controlling polymerization shrinkage of acrylic resin when processing tissue-supported complete dentures.
Explain the steps for delivering final complete dentures, including how to adjust occlusion accurately, and be able to incorporate these steps into practice.
Learn how to perform denture adjustments at post-delivery appointments.
Learn how to take a reline impression in a final denture if needed for added retention and/or stability.",Dentaltown,11/2/2023
Building Wealth via Dental Warranties,Max Zanan and Adam Marburger,"In this course you’ll learn how your dental practice can build wealth in the most tax friendly of environments. By providing your patient a Limited Warranty, you are providing multiple benefits to both the patient, and the dental practice.",1.5,https://www.dentaltown.com/onlinece/details/1136/building-wealth-via-dental-warranties,Financial Planning and Investments,Video, $36,"Understand how warranties can be delivered on dental procedures.
Understand the benefits warranties provide to patient care.
Understand how providing warranties could generate wealth for the clinic.",Dentaltown,11/2/2023
Improving Restorative Results with Soft Tissue Grafting,"James Kohner, DDS","Learn useful methods for improving soft tissue appearances, including how stop the progression of recession around natural teeth and restorations and cover exposed root surfaces with healthy gingival soft tissues. Some of the techniques discussed in this course are free gingival and connective tissue grafts. Case examples will show participants the indications and benefits of these grafts and how they directly impact better dental health and better restorative results.",1.5,https://www.dentaltown.com/onlinece/details/1133/improving-restorative-results-with-soft-tissue-grafting,Periodontics,Video, $36,"Diagnose indications and contraindications for both grafts.
See why these two grafts are the most useful among other options.
Predictably enhance smiles and restorative results by recommending these grafts.
Think through using a “decision tree” process to compare the benefits of each graft, understand their differences and know where to use them.
Understand how to predictably stop recession and prevent it in the aesthetic zone.",Dentaltown,10/26/2023
M.A.T.E. Module 1: Introduction to the MATE Act and the Role of Dexamethasone in Non-Opioid Pain Management,"Jason H. Goodchild, DMD","Effective June 27, 2023 as a part of the Medication Access and Training Expansion (MATE) Act, the US Drug Enforcement Administration (DEA) requires that health practitioners who apply for or renew their Drug Enforcement Administration (DEA) registration to prescribe controlled substances must attest they have completed a one-time, eight-hour training by checking a box on their online DEA application form. The deadline for satisfying this new training requirement is the date of a practitioner's initial application for DEA registration or their next scheduled DEA registration renewal. The intention of the MATE Act is standardizing substance use disorder (SUD) training and to ensure that all prescribers of addictive medications possess baseline knowledge in evidence-based addiction treatments and prevention. For dentists this one-time, eight-hour curriculum must address “safe pharmacological management of dental pain and screening, brief intervention, and referral for appropriate treatment of patients with or at risk of developing opioid and other substance use disorders.”

This first module is designed to provide an overview of the MATE Act and discuss specifically what dentists need to do to comply with this requirement. In addition, a non-opioid post-operative analgesic strategy involving the glucocorticoid dexamethasone will be discussed.",1.75,https://www.dentaltown.com/onlinece/details/1128/mate-module-1-introduction-to-the-mate-act-and-the-role-of-dexamethasone-in-non-opioid-pain-management,"Oral Pathology, Pharmacology, and Cariology",Video, $36,"Discuss the history of the MATE Act
Understand what topics and providers are approved
Describe how non-opioid analgesics specifically ibuprofen, acetaminophen, and glucocorticoids could be as effective as opioid analgesics
Explain how dexamethasone could be utilized to address post-operative pain, swelling, and trismus",Dentaltown,10/5/2023
M.A.T.E. Module 2: The perfect initial post-operative analgesic recipe,Dr. Mark Donaldson,"Providing dental care to anxious, fearful and medically-complex patients continues to be a major challenge facing dentists. Despite advances in management techniques and treatment delivery, patients’ preexisting opinions and experiences contribute to dental anxiety, fear and avoidance. Feelings of apprehension create psychological obstacles that prevent dental patients from seeking and receiving care and once they do, the dentist is then faced with treating their oral health needs in the face of multiple chronic diseases, medications, herbal supplements and more. The simple approach to, “drilling and filling” has just been cranked up a few more notches.

This foundational program reviews the basics of pharmacology with a particular focus on the postoperative dental realm. The goal of making dental pharmacology interesting and useful at chairside beginning on Monday morning will be emphasized in accordance with the DEA Medication Access and Training Expansion (MATE) Act which follows the recently published follows the Centers for Disease Control and Prevention (CDC) Clinical Practice Guideline for Prescribing Opioids for Pain. Analgesic differentiation will be clearly described in order to enhance your opportunity to match the right drug at the right dose for the right patient and the right procedure – especially since the definition of pain is, “whatever the patient says it is.” After all, our goal is to make sure all dental appointments are not just successful for your patient, but also for you and your staff.",1.75,https://www.dentaltown.com/onlinece/details/1129/mate-module-2-the-perfect-initial-post-operative-analgesic-recipe,"Oral Pathology, Pharmacology, and Cariology",Video, $36,"Discuss the pathophysiology of pain as it relates to dentistry
Understand the perfect analgesic recipe to keep (almost) all of your patients out of pain – first time, every time
Describe the different types of analgesics available and how to match the right drug at the right dose for the right patient and the right procedure
Explain why narcotic-containing analgesics should not be routinely prescribed for post-operative dental pain",Dentaltown,10/5/2023
M.A.T.E. Module 3: Myths and Truths About Local Anesthesia,"Jason H. Goodchild, DMD","Effective June 27, 2023 as a part of the Medication Access and Training Expansion (MATE) Act, the US Drug Enforcement Administration (DEA) requires that health practitioners who apply for or renew their Drug Enforcement Administration (DEA) registration to prescribe controlled substances must attest they have completed a one-time, eight-hour training by checking a box on their online DEA application form. The deadline for satisfying this new training requirement is the date of a practitioner's initial application for DEA registration or their next scheduled DEA registration renewal. The intention of the MATE Act is standardizing substance use disorder (SUD) training and to ensure that all prescribers of addictive medications possess baseline knowledge in evidence-based addiction treatments and prevention. For dentists this one-time, eight-hour curriculum must address “safe pharmacological management of dental pain and screening, brief intervention, and referral for appropriate treatment of patients with or at risk of developing opioid and other substance use disorders.”

In Module 3 of this series we will discuss how to effectively manage intraoperative dental pain with local anesthesia. Achieving profound and effective local anesthesia is essential in clinical practice. It is a limiting step in most procedures; meaning invasive procedures cannot commence until it is successfully achieved.

Despite the frequency that oral health providers (ie, dentists and hygienists) use local anesthetics during clinical practice, misconceptions remain. The goal of this presentation is to discuss several common ‘myths’ surrounding local anesthesia while incorporating literature-supported learning issues.",2.25,https://www.dentaltown.com/onlinece/details/1130/mate-module-3-myths-and-truths-about-local-anesthesia,"Oral Pathology, Pharmacology, and Cariology",Video, $36,"Discuss current local anesthetic market share in the US
Review the basic pharmacology of local anesthetics
Discuss common ‘myths’ associated with local anesthesia
Review the latest armamentarium of local anesthetic delivery
Discuss tips, tricks, and pearls to maximize local anesthetic success",Dentaltown,10/5/2023
M.A.T.E. Module 4: Going beyond the initial perfect post-operative analgesic recipe,Dr. Mark Donaldson,"Providing dental care to anxious, fearful and medically-complex patients continues to be a major challenge facing dentists. Despite advances in management techniques and treatment delivery, patients’ preexisting opinions and experiences contribute to dental anxiety, fear and avoidance. Feelings of apprehension create psychological obstacles that prevent dental patients from seeking and receiving care and once they do, the dentist is then faced with treating their oral health needs in the face of multiple chronic diseases, medications, herbal supplements and more. The simple approach to, “drilling and filling” has just been cranked up a few more notches.

This foundational program reviews the basics of pharmacology with a particular focus on the postoperative dental realm. The goal of making dental pharmacology interesting and useful at chairside beginning on Monday morning will be emphasized in accordance with the DEA Medication Access and Training Expansion (MATE) Act which follows the recently published follows the Centers for Disease Control and Prevention (CDC) Clinical Practice Guideline for Prescribing Opioids for Pain. Analgesic differentiation will be clearly described in order to enhance your opportunity to match the right drug at the right dose for the right patient and the right procedure – especially since the definition of pain is, “whatever the patient says it is.” After all, our goal is to make sure all dental appointments are not just successful for your patient, but also for you and your staff.",2.5,https://www.dentaltown.com/onlinece/details/1131/mate-module-4-going-beyond-the-initial-perfect-post-operative-analgesic-recipe,"Oral Pathology, Pharmacology, and Cariology",Video, $36,"Understand the additional opportunities to the perfect analgesic recipe to keep (almost) all of your patients out of pain – first time, every time
Explain why narcotic-containing analgesics should not be routinely prescribed for post-operative dental pain
Discuss the importance of consulting one’s state Prescription Drug Therapy Monitoring Program
Discuss the role of naloxone and dental considerations",Dentaltown,10/5/2023
"Tongue Ties: A Medically Necessary Procedure, or Just An Excuse To Pay For A Laser?",Dr. Bob Convissar,"There are many excellent courses out there that discuss infant tongue tie procedures. Many dentists appreciate the information contained in those courses. However, some dentists believe that this is a totally unnecessary procedure and dentists perform tongue tie releases on infants solely to justify paying the lease on an expensive laser. This could not be further from the truth. This course will discuss the medical peer-reviewed literature that shows the necessity for performing infant tongue tie releases.",1.75,https://www.dentaltown.com/onlinece/details/1126/tongue-ties-a-medically-necessary-procedure-or-just-an-excuse-to-pay-for-a-laser,Pediatric Dentistry,Video, $36,"Understand the medical necessity for performing tongue tie release
Describe the adverse sequelae if a tongue tie is not released in infancy
Know the relationship between lip ties and aerophagia
Understand the relationship between acid suppression therapy in infants and bone fractures
Discuss the difference between an anterior tongue tie and a posterior tongue tie
Know the significance of Vitamin K shots at infancy
Understand the significance of a clicking noise during breastfeeding",Dentaltown,9/21/2023
The Important Wax Try-in Appointment,"Leif Stromberg, DDS, MAGD","By incorporating the keys to complete denture success into their workflows, dentists can increase their predictability and success with complete denture fabrication. This is the forth course of a 5-course series on Keys to Complete Denture Success and presents relevant laboratory steps for preparing the case for the wax try-in appointment. Additionally, the course provides simplified steps for the crucial wax try-in appointment. It also covers the dentist's evaluation of aesthetics and setup, as well as the patient's.",1.5,https://www.dentaltown.com/onlinece/details/1124/the-important-wax-try-in-appointment,Prosthodontics,Video, $36,"Discuss information to send to the dental laboratory after the records appointment and laboratory steps for the wax try-in appointment.
Identify the advantages of lingualized occlusion and the use of lingual control lines.
Apply the fundamentals of the important wax try-in and patient/dentist acceptance appointment.
Discuss when a case remount would be necessary, and the steps for jaw relation records (without a gothic arch tracer) to remount a case on the articulator.",Dentaltown,9/4/2023
Navigating the Dental Insurance Landscape: Optimizing Benefits Reimbursement,Dr. Dominique Fufidio,"This course is designed to assist dental offices in comprehending the dental insurance claims review process. It provides valuable insights to improve benefits reimbursement success rates. The course emphasizes the distinctions between benefit determinations and treatment recommendations. It also covers a review of criteria for CDT code categories, supported by clinical use case examples. Additionally, participants will learn about the utilization of AI within the dental market. By integrating these concepts, the course aims to align dental professionals, patients and insurance providers to ensure accurate compensation for provided treatments.",1.75,https://www.dentaltown.com/onlinece/details/1120/navigating-the-dental-insurance-landscape-optimizing-benefits-reimbursement,"Practice Management, HR and Accounting",Video, $36,"Better understand the criteria that payers consider when establishing medical necessity for benefit determinations and claim payment.
Differentiate between a benefit determination, a benefit recommendation and a treatment recommendation to accurately navigate the claims process.
Align clinical documentation and claim submission attachments with the specific requirements necessary to enhance benefit reimbursement rates for targeted CDT code categories.
Gain insight into the role of AI within both the payer market and dental provider's office.
Ensure proper reimbursement for services rendered.",Dentaltown,8/24/2023
"Simplifying the Determination and Recording of VDO, CR, and Positions of Teeth for Complete Dentures","Leif Stromberg, DDS, MAGD","This is the third course of a 5-course series on Keys to Complete Denture Success and addresses in detail simplified methods for determining and recording the positions of denture teeth, vertical dimension of occlusion and centric relation for success and predictability of complete denture restorations.
Life is too short to use wax rims to make records for the vertical dimension of occlusion and centric relation for complete dentures. Wax rims are bulky, cumbersome, difficult to adjust and often lead to inaccurate records.
This course will show you a much better way. The sequence of steps for refining the contours of the maxillary aesthetic wax rim to record the positions of denture teeth is discussed in detail. This includes how to determine the positions of the anterior teeth for aesthetics when severe bone resorption has occurred, how to determine the dental midline, and how to adjust and record the occlusal plane.
For the predictability of denture fabrication, it is very important to accurately determine and record an acceptable vertical dimension of occlusion. Simplified clinical steps are explained in detail. It is very important to precisely locate and record centric relations. Simplified clinical steps for this are discussed in detail.",2,https://www.dentaltown.com/onlinece/details/1121/simplifying-the-determination-and-recording-of-vdo-cr-and-positions-of-teeth-for-complete-dentures,Prosthodontics,Video, $36,"Demonstrate how to clinically refine the contours of the maxillary aesthetic wax rim for teeth positions.
Discuss how to determine an acceptable vertical dimension of occlusion (VDO) for edentulous restorations and why this is very important.
Define and explain how to locate centric relation (CR) for an edentulous person.
Accurately record the vertical dimension of occlusion and centric relation for edentulous restorations using the gothic arch tracer.",Dentaltown,8/10/2023
Creating a Remarkable Dental Practice: Your Digital Presence Using Social Media.,Fred Joyal,"Once you’ve established your website and online review presence, a comprehensive social media strategy has become essential to practice promotion and attracting new, young patients. This course shows you where to spend your time and energy and when and where to invest your promotional dollars. It will detail which sites are most important, in which order, and how to create the appropriate content for each of them, from Facebook to Instagram to Twitter.

You’ll come away with an understanding of why social media is important for business, how to keep up with the seemingly endless changes occurring in that environment and how to train a team member or outsource your social media for maximum results without overspending.",1.25,https://www.dentaltown.com/onlinece/details/986/creating-a-remarkable-dental-practice-your-digital-presence-using-social-media,"Practice Management, HR and Accounting",Video, $36,"The importance of Facebook, and the most common pitfalls of social media
How to create and where and when to place your social media content
How new patients use social media in choosing a practice
What other social media sites to use, in order of importance",Dentaltown,7/27/2023
Peri-Implantitis: Its Diagnosis and Management,Dr. Giacomo Tarquini,"This course provides an illustration of the diagnostic path and treatment protocols for addressing peri-implant diseases, including peri-implantitis and peri-implant mucositis. The main objective of peri-implantitis therapy is to achieve complete resolution of bony defects, reduction in peri-implant pocket depth, and elimination of soft tissue inflammation. The course offers a comprehensive overview of peri-implant diseases and conditions, starting from peri-implant health to peri-implant mucositis and peri-implantitis. It covers the biological rationale and surgical protocol underlying peri-implant therapy, emphasizing the evaluation of multi-level risk factors and conducting a thorough differential diagnostic analysis. The surgical approach is presented through a detailed clinical flow chart that guides clinicians in selecting the most appropriate treatment protocol. Each surgical technique is demonstrated using a step-by-step approach, accompanied by numerous pictures and clinical videos. The course also explores the clinical potential and limitations of guided bone regeneration and osseous resective therapy compared to other surgical techniques, as well as the role of supportive periodontal therapy.

Additionally, the use of barrier membranes, bone substitutes, and biologically active regenerating materials in peri-implant regenerative surgical therapy is discussed in detail, helping clinicians make informed decisions based on the properties of each biomaterial and the shape of the defect. The clinical efficacy and effectiveness of peri-implantitis therapy are analyzed based on the speaker's personal experience and the latest high-level scientific evidence.",1.25,https://www.dentaltown.com/onlinece/details/1114/peri-implantitis-its-diagnosis-and-management,Implant Dentistry,Video, $36,"Make a proper case definition of peri-implantitis and peri-implant mucositis.
Diagnose the presence of peri-implant defects which are candidates for regenerative or resective therapy.
Identify all risk factors according to a multi-level analysis.
Select the proper surgical protocol according to the shape and the extent of peri-implant defect.
Make a biologically-oriented choice among the extensive set of biomaterials.",Dentaltown,6/29/2023
Simplified Final Impression Technique for Complete Denture Success,"Leif Stromberg, DDS, MAGD","A denture service can be a positive life-changing experience for an edentulous patient. It can also be a very negative struggle for both patient and dentist.

This is the second course in a five-course series on Keys to Complete Denture Success. Each course focuses on fundamental elements of fabricating complete dentures and may be completed on its own as a standalone course or in conjunction with the others. Subsequent courses in the series will be released soon!

This course addresses the intraoral structures that are important to record in adequate edentulous final impressions. It also presents a simplified final impression technique for tissue-supported complete dentures, including how to determine and mark the posterior extension of the maxillary denture and how to locate, mark and record the retromolar pads in the lower impression.

Also discussed is the importance of recording a preliminary centric relation/vertical dimension of occlusion record for the lab to use to mount the master casts for fabricating the setup for the records appointment. This reduces frustration for the dentist, saves chair time and increases quality of the final dentures. Also covered are important devices for fabricating complete dentures, including the alma gauge, Swissedent wax rim former, papillameter and alameter.

Life is too short to fabricate complete dentures unpredictably and unsuccessfully. This series of courses will show you a much better way. Learn and incorporate the Keys to Complete Denture Success into your workflow to have less problems during the fabrication process and after the completed dentures are delivered.",2.5,https://www.dentaltown.com/onlinece/details/1109/simplified-final-impression-technique-for-complete-denture-success,Prosthodontics,Video, $36,"Identify intra-oral anatomic landmarks to record for adequate edentulous final impressions.
Make adequate edentulous final impressions.
Describe the anatomy of posterior palatal seal area and peripheral seal for maxillary complete dentures.
Explain the use of the alma gauge, Swissedent wax rim former, papillameter, and alameter in denture fabrication.
Record a preliminary centric relation/vertical dimension of occlusion record for the lab to use to mount the master casts for fabricating the set up for the records appointment.",Dentaltown,6/15/2023
Unlocking the Power of the Employee Retention Credit: Maximizing Your Practice’s Benefits,"Sadler Graham, Matt Eddleman, and Kristina Mitro, DDS","Dental, Orthodontic, and Endodontic providers who have been affected by government orders or experienced reduced revenue due to the COVID-19 pandemic could be eligible for the Employee Retention Credit, which offers a maximum of $26,000 per employee. Unfortunately, many providers are not taking advantage of this opportunity. By participating in the ERC, dental practices can potentially save hundreds of thousands of dollars per location.",1.5,https://www.dentaltown.com/onlinece/details/1113/unlocking-the-power-of-the-employee-retention-credit-maximizing-your-practices-benefits,"Practice Management, HR and Accounting",Video, $36,"Qualification criteria and requirements for practices looking to claim the ERC.
Hear from an endodontics practice owner who successfully navigated the ERC program.
Key considerations to keep in mind while filing for the credit.
How to ensure you’re protected when filing.",Dentaltown,6/7/2023
Google Analytics 4: What Dentists Need To Know Now,Dr. David A. Wank,"On July 1, Google will turn off Universal Analytics, its current Google Analytics product, which means website owners will need to start using the company’s latest product, Google Analytics 4, if they want to access their website analytics data through Google. In this course, readers will learn why the company is making this change and what efforts website owners will need to make so they can continue to track and analyze their data. We’ll also examine a few likely scenarios dentists might find themselves in regarding the update, and review some of the data migration pearls and pitfalls.",1.5,https://www.dentaltown.com/onlinece/details/1110/google-analytics-4-what-dentists-need-to-know-now,Marketing,PDF, $36,"Understand why Google is requiring website owners to migrate to Google Analytics 4 (GA4).
Understand the different data collection methods used by Universal Analytics and GA4.
Be familiar with the general migration process, and what you can and cannot expect from a migration.
Know the difference between a GA4 event and a GA4 conversion.
Describe Google Signals and why it is important for Google Ads users.
Find key data in the new GA4 interface.",Dentaltown,6/6/2023
Aesthetic Conservative Cast Gold Restorations,Dr. Richard G. Stevenson III,"Long considered the finest material for restorative dentistry, gold is often (unfortunately) omitted from treatment plans as a viable option in today’s modern dental practice. In this 90-minute presentation, Dr. Richard G Stevenson will focus on techniques to produce predictable precision gold castings that conserve and protect tooth structure. Special attention will be placed on preparation designs to maintain aesthetics, simplify clinical and laboratory procedures and allow practitioners to provide restorations of the highest quality.",1.75,https://www.dentaltown.com/onlinece/details/1108/aesthetic-conservative-cast-gold-restorations,Restorative Dentistry,Video, $36,"Decide when cast gold is the best option to satisfy the patient’s value profile.
Learn how to diagnose the need for extra-coronal vs intra-coronal restorations.
Complete a step-by-step technique to produce castings of remarkable precision.
Understand the use of auxiliary retention and how it saves tooth structure.",Dentaltown,6/1/2023
